Price,Location,Property Type,Area,Posted Date
"₹1.42 Cr₹8,417 per sqft",N/A,Super Area1690 sqftUnder ConstructionPoss. by Aug '28TransactionNew PropertyFurnishingUnfurnishedBathroom3,N/A,N/A
"₹3.13 Cr₹9,911 per sqft",N/A,Super Area3160 sqftUnder ConstructionPoss. by Jun '28TransactionNew PropertyFurnishingUnfurnishedCar Parking2 CoveredBathroom3,N/A,N/A
"₹6.10 Cr₹13,692 per sqft",N/A,Super Area4455 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedCar Parking2 CoveredBathroom4,N/A,N/A
"₹78.3 Lac₹5,000 per sqft",N/A,Super Area1565 sqftUnder ConstructionPoss. by Jun '26TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
"₹4.76 Cr₹10,999 per sqft",N/A,Super Area4330 sqftUnder ConstructionPoss. by Mar '30TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4,N/A,N/A
"₹60 Lac₹3,333 per sqft",N/A,Plot Area200 sqyrdTransactionNew Property,N/A,N/A
"₹13.50 Cr₹30,000 per sqft",N/A,Carpet Area4500 sqftStatusReady to MoveTransactionNew PropertyFurnishingFurnishedfacingWestoverlookingGarden/ParkOwnershipFreeholdDimensions19.44 X 18 yrd SqyrdCar Parking2 CoveredBathroom5Balcony2,N/A,N/A
"₹1.18 Cr₹6,466 per sqft",N/A,Super Area1825 sqftUnder ConstructionPoss. by May '26TransactionNew PropertyFurnishingUnfurnishedCar Parking2 CoveredBathroom3,N/A,N/A
"₹2.58 Cr₹10,750 per sqft",N/A,Super Area2400 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4,N/A,N/A
"₹1.80 Cr₹10,170 per sqft",N/A,Super Area1770 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedBathroom2,N/A,N/A
"₹99.1 Lac₹8,105 per sqft",N/A,Super Area1223 sqftStatusReady to MoveFloor3 out of 5TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom2,N/A,N/A
"₹1.12 Cr₹8,058 per sqft",N/A,Super Area1390 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedBathroom2,N/A,N/A
"₹1.27 Cr₹6,999 per sqft",N/A,Super Area1815 sqftUnder ConstructionPoss. by Jan '27TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3,N/A,N/A
"₹2.24 Cr₹8,149 per sqft",N/A,Super Area2751 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4,N/A,N/A
"₹2.52 Cr₹8,222 per sqft",N/A,Super Area3065 sqftUnder ConstructionPoss. by Mar '30TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4,N/A,N/A
"₹3.75 Cr₹9,494 per sqft",N/A,Super Area3950 sqftUnder ConstructionPoss. by Nov '29TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom4,N/A,N/A
"₹1.96 Cr₹9,500 per sqft",N/A,Super Area2064 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedCar Parking2 CoveredBathroom3,N/A,N/A
"₹3.68 Cr₹8,100 per sqft",N/A,Super Area4554 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedBathroom5,N/A,N/A
"₹1.94 Cr₹8,000 per sqft",N/A,Super Area2430 sqftUnder ConstructionPoss. by Jul '28Floor1 out of 36TransactionNew PropertyFurnishingFurnishedfacingNorth - EastoverlookingGarden/ParkOwnershipPower Of AttorneyCar Parking5 CoveredBathroom3Balcony3,N/A,N/A
"₹3.23 Cr₹10,971 per sqft",N/A,Carpet Area2300 sqftUnder ConstructionPoss. by Nov '27Floor19 out of 35TransactionResaleFurnishingUnfurnishedfacingEastoverlookingPoolOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony3,N/A,N/A
"₹2.30 Cr₹9,384 per sqft",N/A,"Super Area2451 sqftStatusReady to MoveFloor3 out of 10TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingPool, Garden/Park, Main RoadOwnershipFreeholdBathroom3Balcony2",N/A,N/A
"₹97.9 Lac₹7,800 per sqft",N/A,Carpet Area1255 sqftStatusReady to MoveFloor14 out of 14TransactionNew PropertyFurnishingSemi-FurnishedfacingWestoverlookingGarden/ParkOwnershipFreeholdBathroom2Balcony2,N/A,N/A
"₹2.65 Cr₹12,476 per sqft",N/A,"Super Area2124 sqftStatusReady to MoveFloor8 out of 35TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingPool, Garden/ParkOwnershipFreeholdBathroom4Balcony1",N/A,N/A
